Dates,States,Usage
12/05/2019 00:00:00,Punjab,245.9
13/05/2019 00:00:00,Punjab,253.7
14/05/2019 00:00:00,Punjab,264.8
15/05/2019 00:00:00,Punjab,229.6
16/05/2019 00:00:00,Punjab,220.4
17/05/2019 00:00:00,Punjab,206.3
18/05/2019 00:00:00,Punjab,210.9
19/05/2019 00:00:00,Punjab,122.1
20/05/2019 00:00:00,Punjab,129.0
21/05/2019 00:00:00,Punjab,108.6
22/05/2019 00:00:00,Punjab,126.4
23/05/2019 00:00:00,Punjab,132.7
24/05/2019 00:00:00,Punjab,133.3
25/05/2019 00:00:00,Punjab,126.3
26/05/2019 00:00:00,Punjab,86.3
27/05/2019 00:00:00,Punjab,74.7
28/05/2019 00:00:00,Punjab,69.6
29/05/2019 00:00:00,Punjab,63.1
30/05/2019 00:00:00,Punjab,66.9
31/05/2019 00:00:00,Punjab,57.6
02/06/2019 00:00:00,Punjab,56.1
03/06/2019 00:00:00,Punjab,113.4
04/06/2019 00:00:00,Punjab,119.7
05/06/2019 00:00:00,Punjab,124.5
06/06/2019 00:00:00,Punjab,125.7
07/06/2019 00:00:00,Punjab,122.0
08/06/2019 00:00:00,Punjab,117.0
09/06/2019 00:00:00,Punjab,90.7
10/06/2019 00:00:00,Punjab,102.8
11/06/2019 00:00:00,Punjab,92.4
12/06/2019 00:00:00,Punjab,105.3
13/06/2019 00:00:00,Punjab,104.0
14/06/2019 00:00:00,Punjab,105.3
15/06/2019 00:00:00,Punjab,95.3
16/06/2019 00:00:00,Punjab,97.9
17/06/2019 00:00:00,Punjab,146.2
18/06/2019 00:00:00,Punjab,158.9
19/06/2019 00:00:00,Punjab,169.5
20/06/2019 00:00:00,Punjab,161.7
21/06/2019 00:00:00,Punjab,139.4
22/06/2019 00:00:00,Punjab,142.4
23/06/2019 00:00:00,Punjab,150.2
24/06/2019 00:00:00,Punjab,105.1
25/06/2019 00:00:00,Punjab,106.5
26/06/2019 00:00:00,Punjab,111.2
27/06/2019 00:00:00,Punjab,111.0
28/06/2019 00:00:00,Punjab,112.9
29/06/2019 00:00:00,Punjab,114.3
30/06/2019 00:00:00,Punjab,99.3
01/07/2019 00:00:00,Punjab,163.9
02/07/2019 00:00:00,Punjab,192.4
03/07/2019 00:00:00,Punjab,209.5
04/07/2019 00:00:00,Punjab,221.9
05/07/2019 00:00:00,Punjab,239.1
06/07/2019 00:00:00,Punjab,245.6
07/07/2019 00:00:00,Punjab,239.4
08/07/2019 00:00:00,Punjab,77.9
08/07/2019 00:00:00,Punjab,75.3
09/07/2019 00:00:00,Punjab,68.5
09/07/2019 00:00:00,Punjab,81.2
10/07/2019 00:00:00,Punjab,83.7
10/07/2019 00:00:00,Punjab,91.0
11/07/2019 00:00:00,Punjab,91.6
11/07/2019 00:00:00,Punjab,100.8
12/07/2019 00:00:00,Punjab,100.0
12/07/2019 00:00:00,Punjab,105.3
13/07/2019 00:00:00,Punjab,104.4
14/07/2019 00:00:00,Punjab,106.3
15/07/2019 00:00:00,Punjab,102.7
16/07/2019 00:00:00,Punjab,98.9
17/07/2019 00:00:00,Punjab,124.5
18/07/2019 00:00:00,Punjab,130.5
19/07/2019 00:00:00,Punjab,124.2
20/07/2019 00:00:00,Punjab,115.1
21/07/2019 00:00:00,Punjab,114.6
22/07/2019 00:00:00,Punjab,119.6
23/07/2019 00:00:00,Punjab,117.9
24/07/2019 00:00:00,Punjab,96.6
25/07/2019 00:00:00,Punjab,96.3
26/07/2019 00:00:00,Punjab,101.0
27/07/2019 00:00:00,Punjab,97.9
28/07/2019 00:00:00,Punjab,102.1
29/07/2019 00:00:00,Punjab,102.4
30/07/2019 00:00:00,Punjab,98.4
31/07/2019 00:00:00,Punjab,232.0
01/08/2019 00:00:00,Punjab,206.1
02/08/2019 00:00:00,Punjab,246.5
03/08/2019 00:00:00,Punjab,228.4
04/08/2019 00:00:00,Punjab,242.1
05/08/2019 00:00:00,Punjab,263.8
06/08/2019 00:00:00,Punjab,259.3
08/08/2019 00:00:00,Punjab,135.7
09/08/2019 00:00:00,Punjab,142.3
10/08/2019 00:00:00,Punjab,143.6
11/08/2019 00:00:00,Punjab,145.4
12/08/2019 00:00:00,Punjab,160.4
13/08/2019 00:00:00,Punjab,168.2
14/08/2019 00:00:00,Punjab,171.0
15/08/2019 00:00:00,Punjab,130.8
16/08/2019 00:00:00,Punjab,129.7
17/08/2019 00:00:00,Punjab,120.4
18/08/2019 00:00:00,Punjab,110.3
19/08/2019 00:00:00,Punjab,105.7
20/08/2019 00:00:00,Punjab,118.0
21/08/2019 00:00:00,Punjab,114.3
22/08/2019 00:00:00,Punjab,103.0
23/08/2019 00:00:00,Punjab,105.0
24/08/2019 00:00:00,Punjab,109.4
25/08/2019 00:00:00,Punjab,107.5
26/08/2019 00:00:00,Punjab,114.0
27/08/2019 00:00:00,Punjab,114.7
28/08/2019 00:00:00,Punjab,111.3
29/08/2019 00:00:00,Punjab,238.1
30/08/2019 00:00:00,Punjab,239.6
31/08/2019 00:00:00,Punjab,243.0
01/09/2019 00:00:00,Punjab,224.0
02/09/2019 00:00:00,Punjab,225.2
03/09/2019 00:00:00,Punjab,227.9
04/09/2019 00:00:00,Punjab,216.8
05/09/2019 00:00:00,Punjab,95.3
06/09/2019 00:00:00,Punjab,96.5
08/09/2019 00:00:00,Punjab,102.4
09/09/2019 00:00:00,Punjab,103.9
10/09/2019 00:00:00,Punjab,105.6
11/09/2019 00:00:00,Punjab,105.7
12/09/2019 00:00:00,Punjab,166.0
13/09/2019 00:00:00,Punjab,133.7
14/09/2019 00:00:00,Punjab,147.9
15/09/2019 00:00:00,Punjab,177.2
16/09/2019 00:00:00,Punjab,192.9
17/09/2019 00:00:00,Punjab,206.0
18/09/2019 00:00:00,Punjab,211.6
19/09/2019 00:00:00,Punjab,118.1
20/09/2019 00:00:00,Punjab,95.9
21/09/2019 00:00:00,Punjab,100.7
22/09/2019 00:00:00,Punjab,98.6
23/09/2019 00:00:00,Punjab,104.6
24/09/2019 00:00:00,Punjab,112.8
25/09/2019 00:00:00,Punjab,108.5
26/09/2019 00:00:00,Punjab,146.2
27/09/2019 00:00:00,Punjab,151.2
28/09/2019 00:00:00,Punjab,141.5
29/09/2019 00:00:00,Punjab,138.5
30/09/2019 00:00:00,Punjab,118.8
01/10/2019 00:00:00,Punjab,118.9
02/10/2019 00:00:00,Punjab,110.9
03/10/2019 00:00:00,Punjab,108.1
04/10/2019 00:00:00,Punjab,116.9
05/10/2019 00:00:00,Punjab,118.0
06/10/2019 00:00:00,Punjab,120.1
08/10/2019 00:00:00,Punjab,119.0
09/10/2019 00:00:00,Punjab,114.9
10/10/2019 00:00:00,Punjab,109.1
11/10/2019 00:00:00,Punjab,156.3
12/10/2019 00:00:00,Punjab,151.4
13/10/2019 00:00:00,Punjab,153.8
14/10/2019 00:00:00,Punjab,151.1
15/10/2019 00:00:00,Punjab,137.9
16/10/2019 00:00:00,Punjab,136.9
17/10/2019 00:00:00,Punjab,134.9
18/10/2019 00:00:00,Punjab,96.1
19/10/2019 00:00:00,Punjab,105.4
20/10/2019 00:00:00,Punjab,111.4
21/10/2019 00:00:00,Punjab,112.0
22/10/2019 00:00:00,Punjab,111.6
23/10/2019 00:00:00,Punjab,110.4
24/10/2019 00:00:00,Punjab,104.6
25/10/2019 00:00:00,Punjab,256.1
26/10/2019 00:00:00,Punjab,229.1
27/10/2019 00:00:00,Punjab,233.8
28/10/2019 00:00:00,Punjab,220.4
29/10/2019 00:00:00,Punjab,226.5
30/10/2019 00:00:00,Punjab,176.1
31/10/2019 00:00:00,Punjab,124.2
01/11/2019 00:00:00,Punjab,78.2
02/11/2019 00:00:00,Punjab,82.0
03/11/2019 00:00:00,Punjab,88.1
04/11/2019 00:00:00,Punjab,84.5
05/11/2019 00:00:00,Punjab,85.4
06/11/2019 00:00:00,Punjab,83.3
08/11/2019 00:00:00,Punjab,67.8
09/11/2019 00:00:00,Punjab,99.0
10/11/2019 00:00:00,Punjab,98.0
11/11/2019 00:00:00,Punjab,102.6
12/11/2019 00:00:00,Punjab,104.0
13/11/2019 00:00:00,Punjab,101.8
14/11/2019 00:00:00,Punjab,101.3
15/11/2019 00:00:00,Punjab,93.0
16/11/2019 00:00:00,Punjab,106.3
17/11/2019 00:00:00,Punjab,110.6
18/11/2019 00:00:00,Punjab,111.8
19/11/2019 00:00:00,Punjab,107.5
20/11/2019 00:00:00,Punjab,111.0
21/11/2019 00:00:00,Punjab,116.5
22/11/2019 00:00:00,Punjab,116.9
23/11/2019 00:00:00,Punjab,101.4
24/11/2019 00:00:00,Punjab,105.8
25/11/2019 00:00:00,Punjab,104.8
26/11/2019 00:00:00,Punjab,102.9
27/11/2019 00:00:00,Punjab,105.3
28/11/2019 00:00:00,Punjab,103.6
29/11/2019 00:00:00,Punjab,98.7
30/11/2019 00:00:00,Punjab,203.3
01/12/2019 00:00:00,Punjab,210.1
02/12/2019 00:00:00,Punjab,185.6
03/12/2019 00:00:00,Punjab,228.6
04/12/2019 00:00:00,Punjab,256.0
05/12/2019 00:00:00,Punjab,240.2
06/12/2019 00:00:00,Punjab,237.6
08/12/2019 00:00:00,Punjab,110.1
09/12/2019 00:00:00,Punjab,116.2
10/12/2019 00:00:00,Punjab,114.1
11/12/2019 00:00:00,Punjab,123.5
12/12/2019 00:00:00,Punjab,115.0
13/12/2019 00:00:00,Punjab,121.2
14/12/2019 00:00:00,Punjab,129.8
15/12/2019 00:00:00,Punjab,130.1
16/12/2019 00:00:00,Punjab,129.2
17/12/2019 00:00:00,Punjab,134.2
18/12/2019 00:00:00,Punjab,131.3
19/12/2019 00:00:00,Punjab,131.4
20/12/2019 00:00:00,Punjab,132.6
21/12/2019 00:00:00,Punjab,126.9
22/12/2019 00:00:00,Punjab,110.7
23/12/2019 00:00:00,Punjab,114.1
24/12/2019 00:00:00,Punjab,110.8
25/12/2019 00:00:00,Punjab,97.8
26/12/2019 00:00:00,Punjab,94.7
27/12/2019 00:00:00,Punjab,103.7
28/12/2019 00:00:00,Punjab,97.2
29/12/2019 00:00:00,Punjab,237.2
30/12/2019 00:00:00,Punjab,251.9
31/12/2019 00:00:00,Punjab,255.0
01/01/2020 00:00:00,Punjab,264.6
02/01/2020 00:00:00,Punjab,259.7
03/01/2020 00:00:00,Punjab,259.0
04/01/2020 00:00:00,Punjab,248.8
05/01/2020 00:00:00,Punjab,92.2
13/01/2020 00:00:00,Punjab,69.5
14/01/2020 00:00:00,Punjab,78.1
15/01/2020 00:00:00,Punjab,91.1
16/01/2020 00:00:00,Punjab,92.5
17/01/2020 00:00:00,Punjab,96.0
18/01/2020 00:00:00,Punjab,89.2
19/01/2020 00:00:00,Punjab,291.7
20/01/2020 00:00:00,Punjab,268.9
21/01/2020 00:00:00,Punjab,262.6
22/01/2020 00:00:00,Punjab,244.6
23/01/2020 00:00:00,Punjab,234.5
24/01/2020 00:00:00,Punjab,215.0
25/01/2020 00:00:00,Punjab,174.4
26/01/2020 00:00:00,Punjab,119.0
27/01/2020 00:00:00,Punjab,126.8
28/01/2020 00:00:00,Punjab,125.9
29/01/2020 00:00:00,Punjab,126.3
30/01/2020 00:00:00,Punjab,126.1
31/01/2020 00:00:00,Punjab,123.5
01/02/2020 00:00:00,Punjab,114.7
02/02/2020 00:00:00,Punjab,148.4
03/02/2020 00:00:00,Punjab,133.1
04/02/2020 00:00:00,Punjab,148.4
05/02/2020 00:00:00,Punjab,154.6
13/02/2020 00:00:00,Punjab,155.3
14/02/2020 00:00:00,Punjab,152.6
15/02/2020 00:00:00,Punjab,140.8
16/02/2020 00:00:00,Punjab,108.1
17/02/2020 00:00:00,Punjab,112.7
18/02/2020 00:00:00,Punjab,113.5
19/02/2020 00:00:00,Punjab,113.8
20/02/2020 00:00:00,Punjab,115.0
21/02/2020 00:00:00,Punjab,112.8
22/02/2020 00:00:00,Punjab,107.4
23/02/2020 00:00:00,Punjab,150.1
24/02/2020 00:00:00,Punjab,156.9
25/02/2020 00:00:00,Punjab,169.9
26/02/2020 00:00:00,Punjab,168.9
27/02/2020 00:00:00,Punjab,152.1
28/02/2020 00:00:00,Punjab,152.0
29/02/2020 00:00:00,Punjab,162.4
01/03/2020 00:00:00,Punjab,108.2
02/03/2020 00:00:00,Punjab,112.0
03/03/2020 00:00:00,Punjab,112.6
04/03/2020 00:00:00,Punjab,113.5
05/03/2020 00:00:00,Punjab,113.0
13/03/2020 00:00:00,Punjab,111.8
14/03/2020 00:00:00,Punjab,103.6
15/03/2020 00:00:00,Punjab,284.4
16/03/2020 00:00:00,Punjab,271.4
17/03/2020 00:00:00,Punjab,270.0
18/03/2020 00:00:00,Punjab,291.7
19/03/2020 00:00:00,Punjab,268.9
20/03/2020 00:00:00,Punjab,262.6
21/03/2020 00:00:00,Punjab,244.6
22/03/2020 00:00:00,Punjab,73.9
23/03/2020 00:00:00,Punjab,75.8
24/03/2020 00:00:00,Punjab,69.6
25/03/2020 00:00:00,Punjab,72.4
26/03/2020 00:00:00,Punjab,74.0
27/03/2020 00:00:00,Punjab,75.9
28/03/2020 00:00:00,Punjab,77.7
29/03/2020 00:00:00,Punjab,106.4
30/03/2020 00:00:00,Punjab,106.4
31/03/2020 00:00:00,Punjab,106.7
01/04/2020 00:00:00,Punjab,95.3
02/04/2020 00:00:00,Punjab,99.0
03/04/2020 00:00:00,Punjab,101.7
04/04/2020 00:00:00,Punjab,94.2
05/04/2020 00:00:00,Punjab,99.2
13/04/2020 00:00:00,Punjab,102.9
14/04/2020 00:00:00,Punjab,107.7
15/04/2020 00:00:00,Punjab,112.8
16/04/2020 00:00:00,Punjab,114.1
17/04/2020 00:00:00,Punjab,111.7
18/04/2020 00:00:00,Punjab,112.3
19/04/2020 00:00:00,Punjab,102.8
20/04/2020 00:00:00,Punjab,105.2
21/04/2020 00:00:00,Punjab,105.8
22/04/2020 00:00:00,Punjab,92.4
23/04/2020 00:00:00,Punjab,100.2
24/04/2020 00:00:00,Punjab,104.3
25/04/2020 00:00:00,Punjab,97.3
26/04/2020 00:00:00,Punjab,181.3
27/04/2020 00:00:00,Punjab,162.6
28/04/2020 00:00:00,Punjab,186.4
29/04/2020 00:00:00,Punjab,198.8
30/04/2020 00:00:00,Punjab,186.0
01/05/2020 00:00:00,Punjab,190.3
02/05/2020 00:00:00,Punjab,188.4
03/05/2020 00:00:00,Punjab,88.2
04/05/2020 00:00:00,Punjab,91.2
05/05/2020 00:00:00,Punjab,100.5
13/05/2020 00:00:00,Punjab,105.4
14/05/2020 00:00:00,Punjab,112.9
15/05/2020 00:00:00,Punjab,121.1
16/05/2020 00:00:00,Punjab,129.2
17/05/2020 00:00:00,Punjab,113.0
18/05/2020 00:00:00,Punjab,120.2
19/05/2020 00:00:00,Punjab,120.5
20/05/2020 00:00:00,Punjab,123.8
21/05/2020 00:00:00,Punjab,126.0
22/05/2020 00:00:00,Punjab,127.2
23/05/2020 00:00:00,Punjab,121.6
01/06/2020 00:00:00,Punjab,100.2
02/06/2020 00:00:00,Punjab,102.1
03/06/2020 00:00:00,Punjab,107.9
04/06/2020 00:00:00,Punjab,112.0
05/06/2020 00:00:00,Punjab,114.0
01/07/2020 00:00:00,Punjab,113.8
02/07/2020 00:00:00,Punjab,108.5
03/07/2020 00:00:00,Punjab,235.3
04/07/2020 00:00:00,Punjab,242.9
05/07/2020 00:00:00,Punjab,246.2
