,Forecast
2020-09-19,3508.658718411295
2020-09-20,3507.7308183897617
2020-09-21,3457.11476274391
2020-09-22,3465.0409196487185
2020-09-23,3532.9809972915596
2020-09-24,3475.730851180315
2020-09-25,3465.2432203893413
2020-09-26,3510.3948201137564
2020-09-27,3509.468272093011
2020-09-28,3458.852009321065
2020-09-29,3466.777296268955
2020-09-30,3534.7180209274843
2020-10-01,3477.466951320544
2020-10-02,3466.9796328367797
2020-10-03,3512.1314784782626
2020-10-04,3511.2042535060723
2020-10-05,3460.5880944415435
2020-10-06,3468.513816982464
2020-10-07,3536.4542176759273
2020-10-08,3479.2036104687586
2020-10-09,3468.716135610415
2020-10-10,3513.8678581207446
2020-10-11,3512.940972100821
2020-10-12,3462.324761110001
2020-10-13,3470.250265546939
2020-10-14,3538.1908284516553
2020-10-15,3480.9399897183607
2020-10-16,3470.452593157796
2020-10-17,3515.6043773202637
2020-10-18,3514.677321585488
2020-10-19,3464.06113659425
2020-10-20,3471.9867502370503
2020-10-21,3539.927231921686
2020-10-22,3482.6765091147468
2020-10-23,3472.189073350019
2020-10-24,3517.3408266430342
2020-10-25,3516.413855885248
2020-10-26,3465.797657875945
2020-10-27,3473.7232168387955
2020-10-28,3541.6637391907575
2020-10-29,3484.412958338897
2020-10-30,3473.9255422039114
2020-10-31,3519.077310953389
2020-11-01,3518.1502976472307
2020-11-02,3467.5341061561194
2020-11-03,3475.4596924975003
2020-11-04,3543.400194487123
2020-11-05,3486.149442698647
2020-11-06,3475.6620167349456
2020-11-07,3520.8137777453044
2020-11-08,3519.886785743316
2020-11-09,3469.27059098852
2020-11-10,3477.196163621333
2020-11-11,3545.136675806482
2020-11-12,3487.885909465825
2020-11-13,3477.3984884234123
2020-11-14,3522.550253308783
2020-11-15,3521.623250639695
2020-11-16,3471.0070575190402
2020-11-17,3478.9326370158014
2020-11-18,3546.8731440959996
2020-11-19,3489.6223850416914
2020-11-20,3479.134961535164
2020-11-21,3524.2867244802983
2020-11-22,3523.3597271522785
2020-11-23,3472.743533213402
2020-11-24,3480.669109273351
2020-11-25,3548.609618909623
2020-11-26,3491.3588562070045
2020-11-27,3480.871433934272
2020-11-28,3526.0231978508914
2020-11-29,3525.0961978485734
2020-11-30,3474.480004319384
2020-12-01,3482.4055821001616
2020-12-02,3550.346090456595
2020-12-03,3493.095329580703
2020-12-04,3482.6079066902034
2020-12-05,3527.7596701203956
2020-12-06,3526.8326714571117
2020-12-07,3476.21647772279
2020-12-08,3484.14205464194
2020-12-09,3552.0825636391946
2020-12-10,3494.8318018486516
2020-12-11,3484.3443792674707
2020-12-12,3529.4961429412197
2020-12-13,3528.569143607475
2020-12-14,3477.9529499758637
2020-12-15,3485.878527326435
2020-12-16,3553.819036002827
2020-12-17,3496.568274670254
2020-12-18,3486.080851934196
2020-12-19,3531.2326154859948
2020-12-20,3530.305616487953
2020-12-21,3479.689422804914
2020-12-22,3487.6149999394706
2020-12-23,3555.55550877652
2020-12-24,3498.3047472146395
2020-12-25,3487.8173245561293
2020-12-26,3532.969088168989
2020-12-27,3532.0420890028586
2020-12-28,3481.42589534557
2020-12-29,3489.351472588286
2020-12-30,3557.2919813448934
2020-12-31,3500.0412198978283
2021-01-01,3489.5537972004895
2021-01-02,3534.7055607827756
